序号,汉字,声调,拼音,2075北京话音系,UntPhesoca宽,UntPhesoca严,Standard Chinese (Beijing),Standard Chinese (Beijing)严,胡裕树《现代汉语》,黄伯荣、廖序东《现代汉语》,钱乃荣《现代汉语》,吴宗济,赵元任《汉语口语语法》,《汉语方音字汇》
6341,豁,4,huo,χʊ˥˧·,xwo˥˩·,x̞wo̜̽˥˩·,xuo˥˩·,xuo̟˥˩·,xuo˥˩·,xuo˥˩·,xuo˥˩·,xuo˥˩·,xuɤ˥˩·,xuo̞͑˥˩·
6342,攉,1,huo,χʊ˥·,xwo˥·,x̞wo̜̽˥·,xuo˥·,xuo̟˥·,xuo˥·,xuo˥·,xuo˥·,xuo˥·,xuɤ˥·,xuo̞͑˥·
6343,騞,1,huo,χʊ˥·,xwo˥·,x̞wo̜̽˥·,xuo˥·,xuo̟˥·,xuo˥·,xuo˥·,xuo˥·,xuo˥·,xuɤ˥·,xuo̞͑˥·
6344,搉,1,huo,χʊ˥·,xwo˥·,x̞wo̜̽˥·,xuo˥·,xuo̟˥·,xuo˥·,xuo˥·,xuo˥·,xuo˥·,xuɤ˥·,xuo̞͑˥·
6345,佸,2,huo,χʊ˧˦·,xwo˧˥·,x̞wo̜̽˧˥·,xuo˧˥·,xuo̟˧˥·,xuo˧˥·,xuo˧˥·,xuo˧˥·,xuo˧˥·,xuɤ˧˥·,xuo̞͑˧˥·
6346,秮,2,huo,χʊ˧˦·,xwo˧˥·,x̞wo̜̽˧˥·,xuo˧˥·,xuo̟˧˥·,xuo˧˥·,xuo˧˥·,xuo˧˥·,xuo˧˥·,xuɤ˧˥·,xuo̞͑˧˥·
6347,活,2,huo,χʊ˧˦·,xwo˧˥·,x̞wo̜̽˧˥·,xuo˧˥·,xuo̟˧˥·,xuo˧˥·,xuo˧˥·,xuo˧˥·,xuo˧˥·,xuɤ˧˥·,xuo̞͑˧˥·
6348,火,3,huo,χʊ˨˩̰·,xwo˨˩˦·,x̞wo̜̽˨˩˦·,xuo˨˩˧·,xuo̟˨˩˧·,xuo˨˩˦·,xuo˨˩˦·,xuo˨˩˦·,xuo˨˩˦·,xuɤ˨˩˦·,xuo̞͑˨˩˦·
6349,火,0,huo,χʊ0·,xwo0·,x̞wo̜̽0·,xuo0·,xuo̟0·,xuo0·,xuo0·,xuo0·,xuo0·,xuɤ0·,xuo̞͑0·
6350,伙,3,huo,χʊ˨˩̰·,xwo˨˩˦·,x̞wo̜̽˨˩˦·,xuo˨˩˧·,xuo̟˨˩˧·,xuo˨˩˦·,xuo˨˩˦·,xuo˨˩˦·,xuo˨˩˦·,xuɤ˨˩˦·,xuo̞͑˨˩˦·
6351,伙,0,huo,χʊ0·,xwo0·,x̞wo̜̽0·,xuo0·,xuo̟0·,xuo0·,xuo0·,xuo0·,xuo0·,xuɤ0·,xuo̞͑0·
6352,邩,3,huo,χʊ˨˩̰·,xwo˨˩˦·,x̞wo̜̽˨˩˦·,xuo˨˩˧·,xuo̟˨˩˧·,xuo˨˩˦·,xuo˨˩˦·,xuo˨˩˦·,xuo˨˩˦·,xuɤ˨˩˦·,xuo̞͑˨˩˦·
6353,钬,3,huo,χʊ˨˩̰·,xwo˨˩˦·,x̞wo̜̽˨˩˦·,xuo˨˩˧·,xuo̟˨˩˧·,xuo˨˩˦·,xuo˨˩˦·,xuo˨˩˦·,xuo˨˩˦·,xuɤ˨˩˦·,xuo̞͑˨˩˦·
6354,鈥,3,huo,χʊ˨˩̰·,xwo˨˩˦·,x̞wo̜̽˨˩˦·,xuo˨˩˧·,xuo̟˨˩˧·,xuo˨˩˦·,xuo˨˩˦·,xuo˨˩˦·,xuo˨˩˦·,xuɤ˨˩˦·,xuo̞͑˨˩˦·
6355,夥,3,huo,χʊ˨˩̰·,xwo˨˩˦·,x̞wo̜̽˨˩˦·,xuo˨˩˧·,xuo̟˨˩˧·,xuo˨˩˦·,xuo˨˩˦·,xuo˨˩˦·,xuo˨˩˦·,xuɤ˨˩˦·,xuo̞͑˨˩˦·
6356,沎,4,huo,χʊ˥˧·,xwo˥˩·,x̞wo̜̽˥˩·,xuo˥˩·,xuo̟˥˩·,xuo˥˩·,xuo˥˩·,xuo˥˩·,xuo˥˩·,xuɤ˥˩·,xuo̞͑˥˩·
6357,或,4,huo,χʊ˥˧·,xwo˥˩·,x̞wo̜̽˥˩·,xuo˥˩·,xuo̟˥˩·,xuo˥˩·,xuo˥˩·,xuo˥˩·,xuo˥˩·,xuɤ˥˩·,xuo̞͑˥˩·
6358,货,4,huo,χʊ˥˧·,xwo˥˩·,x̞wo̜̽˥˩·,xuo˥˩·,xuo̟˥˩·,xuo˥˩·,xuo˥˩·,xuo˥˩·,xuo˥˩·,xuɤ˥˩·,xuo̞͑˥˩·
6359,咟,4,huo,χʊ˥˧·,xwo˥˩·,x̞wo̜̽˥˩·,xuo˥˩·,xuo̟˥˩·,xuo˥˩·,xuo˥˩·,xuo˥˩·,xuo˥˩·,xuɤ˥˩·,xuo̞͑˥˩·
6360,俰,4,huo,χʊ˥˧·,xwo˥˩·,x̞wo̜̽˥˩·,xuo˥˩·,xuo̟˥˩·,xuo˥˩·,xuo˥˩·,xuo˥˩·,xuo˥˩·,xuɤ˥˩·,xuo̞͑˥˩·
6361,捇,4,huo,χʊ˥˧·,xwo˥˩·,x̞wo̜̽˥˩·,xuo˥˩·,xuo̟˥˩·,xuo˥˩·,xuo˥˩·,xuo˥˩·,xuo˥˩·,xuɤ˥˩·,xuo̞͑˥˩·
6362,眓,4,huo,χʊ˥˧·,xwo˥˩·,x̞wo̜̽˥˩·,xuo˥˩·,xuo̟˥˩·,xuo˥˩·,xuo˥˩·,xuo˥˩·,xuo˥˩·,xuɤ˥˩·,xuo̞͑˥˩·
6363,获,4,huo,χʊ˥˧·,xwo˥˩·,x̞wo̜̽˥˩·,xuo˥˩·,xuo̟˥˩·,xuo˥˩·,xuo˥˩·,xuo˥˩·,xuo˥˩·,xuɤ˥˩·,xuo̞͑˥˩·
6364,閄,4,huo,χʊ˥˧·,xwo˥˩·,x̞wo̜̽˥˩·,xuo˥˩·,xuo̟˥˩·,xuo˥˩·,xuo˥˩·,xuo˥˩·,xuo˥˩·,xuɤ˥˩·,xuo̞͑˥˩·
6365,剨,4,huo,χʊ˥˧·,xwo˥˩·,x̞wo̜̽˥˩·,xuo˥˩·,xuo̟˥˩·,xuo˥˩·,xuo˥˩·,xuo˥˩·,xuo˥˩·,xuɤ˥˩·,xuo̞͑˥˩·
6366,掝,4,huo,χʊ˥˧·,xwo˥˩·,x̞wo̜̽˥˩·,xuo˥˩·,xuo̟˥˩·,xuo˥˩·,xuo˥˩·,xuo˥˩·,xuo˥˩·,xuɤ˥˩·,xuo̞͑˥˩·
6367,祸,4,huo,χʊ˥˧·,xwo˥˩·,x̞wo̜̽˥˩·,xuo˥˩·,xuo̟˥˩·,xuo˥˩·,xuo˥˩·,xuo˥˩·,xuo˥˩·,xuɤ˥˩·,xuo̞͑˥˩·
6368,貨,4,huo,χʊ˥˧·,xwo˥˩·,x̞wo̜̽˥˩·,xuo˥˩·,xuo̟˥˩·,xuo˥˩·,xuo˥˩·,xuo˥˩·,xuo˥˩·,xuɤ˥˩·,xuo̞͑˥˩·
6369,惑,4,huo,χʊ˥˧·,xwo˥˩·,x̞wo̜̽˥˩·,xuo˥˩·,xuo̟˥˩·,xuo˥˩·,xuo˥˩·,xuo˥˩·,xuo˥˩·,xuɤ˥˩·,xuo̞͑˥˩·
6370,惑,0,huo,χʊ0·,xwo0·,x̞wo̜̽0·,xuo0·,xuo̟0·,xuo0·,xuo0·,xuo0·,xuo0·,xuɤ0·,xuo̞͑0·
6371,旤,4,huo,χʊ˥˧·,xwo˥˩·,x̞wo̜̽˥˩·,xuo˥˩·,xuo̟˥˩·,xuo˥˩·,xuo˥˩·,xuo˥˩·,xuo˥˩·,xuɤ˥˩·,xuo̞͑˥˩·
6372,湱,4,huo,χʊ˥˧·,xwo˥˩·,x̞wo̜̽˥˩·,xuo˥˩·,xuo̟˥˩·,xuo˥˩·,xuo˥˩·,xuo˥˩·,xuo˥˩·,xuɤ˥˩·,xuo̞͑˥˩·
6373,禍,4,huo,χʊ˥˧·,xwo˥˩·,x̞wo̜̽˥˩·,xuo˥˩·,xuo̟˥˩·,xuo˥˩·,xuo˥˩·,xuo˥˩·,xuo˥˩·,xuɤ˥˩·,xuo̞͑˥˩·
6374,奯,4,huo,χʊ˥˧·,xwo˥˩·,x̞wo̜̽˥˩·,xuo˥˩·,xuo̟˥˩·,xuo˥˩·,xuo˥˩·,xuo˥˩·,xuo˥˩·,xuɤ˥˩·,xuo̞͑˥˩·
6375,獲,4,huo,χʊ˥˧·,xwo˥˩·,x̞wo̜̽˥˩·,xuo˥˩·,xuo̟˥˩·,xuo˥˩·,xuo˥˩·,xuo˥˩·,xuo˥˩·,xuɤ˥˩·,xuo̞͑˥˩·
6376,霍,4,huo,χʊ˥˧·,xwo˥˩·,x̞wo̜̽˥˩·,xuo˥˩·,xuo̟˥˩·,xuo˥˩·,xuo˥˩·,xuo˥˩·,xuo˥˩·,xuɤ˥˩·,xuo̞͑˥˩·
6377,謋,4,huo,χʊ˥˧·,xwo˥˩·,x̞wo̜̽˥˩·,xuo˥˩·,xuo̟˥˩·,xuo˥˩·,xuo˥˩·,xuo˥˩·,xuo˥˩·,xuɤ˥˩·,xuo̞͑˥˩·
6378,镬,4,huo,χʊ˥˧·,xwo˥˩·,x̞wo̜̽˥˩·,xuo˥˩·,xuo̟˥˩·,xuo˥˩·,xuo˥˩·,xuo˥˩·,xuo˥˩·,xuɤ˥˩·,xuo̞͑˥˩·
6379,嚯,4,huo,χʊ˥˧·,xwo˥˩·,x̞wo̜̽˥˩·,xuo˥˩·,xuo̟˥˩·,xuo˥˩·,xuo˥˩·,xuo˥˩·,xuo˥˩·,xuɤ˥˩·,xuo̞͑˥˩·
6380,瀖,4,huo,χʊ˥˧·,xwo˥˩·,x̞wo̜̽˥˩·,xuo˥˩·,xuo̟˥˩·,xuo˥˩·,xuo˥˩·,xuo˥˩·,xuo˥˩·,xuɤ˥˩·,xuo̞͑˥˩·
6381,耯,4,huo,χʊ˥˧·,xwo˥˩·,x̞wo̜̽˥˩·,xuo˥˩·,xuo̟˥˩·,xuo˥˩·,xuo˥˩·,xuo˥˩·,xuo˥˩·,xuɤ˥˩·,xuo̞͑˥˩·
6382,藿,4,huo,χʊ˥˧·,xwo˥˩·,x̞wo̜̽˥˩·,xuo˥˩·,xuo̟˥˩·,xuo˥˩·,xuo˥˩·,xuo˥˩·,xuo˥˩·,xuɤ˥˩·,xuo̞͑˥˩·
6383,蠖,4,huo,χʊ˥˧·,xwo˥˩·,x̞wo̜̽˥˩·,xuo˥˩·,xuo̟˥˩·,xuo˥˩·,xuo˥˩·,xuo˥˩·,xuo˥˩·,xuɤ˥˩·,xuo̞͑˥˩·
6384,嚿,4,huo,χʊ˥˧·,xwo˥˩·,x̞wo̜̽˥˩·,xuo˥˩·,xuo̟˥˩·,xuo˥˩·,xuo˥˩·,xuo˥˩·,xuo˥˩·,xuɤ˥˩·,xuo̞͑˥˩·
6385,曤,4,huo,χʊ˥˧·,xwo˥˩·,x̞wo̜̽˥˩·,xuo˥˩·,xuo̟˥˩·,xuo˥˩·,xuo˥˩·,xuo˥˩·,xuo˥˩·,xuɤ˥˩·,xuo̞͑˥˩·
6386,臛,4,huo,χʊ˥˧·,xwo˥˩·,x̞wo̜̽˥˩·,xuo˥˩·,xuo̟˥˩·,xuo˥˩·,xuo˥˩·,xuo˥˩·,xuo˥˩·,xuɤ˥˩·,xuo̞͑˥˩·
6387,癨,4,huo,χʊ˥˧·,xwo˥˩·,x̞wo̜̽˥˩·,xuo˥˩·,xuo̟˥˩·,xuo˥˩·,xuo˥˩·,xuo˥˩·,xuo˥˩·,xuɤ˥˩·,xuo̞͑˥˩·
6388,矐,4,huo,χʊ˥˧·,xwo˥˩·,x̞wo̜̽˥˩·,xuo˥˩·,xuo̟˥˩·,xuo˥˩·,xuo˥˩·,xuo˥˩·,xuo˥˩·,xuɤ˥˩·,xuo̞͑˥˩·
6389,鑊,4,huo,χʊ˥˧·,xwo˥˩·,x̞wo̜̽˥˩·,xuo˥˩·,xuo̟˥˩·,xuo˥˩·,xuo˥˩·,xuo˥˩·,xuo˥˩·,xuɤ˥˩·,xuo̞͑˥˩·
6390,靃,4,huo,χʊ˥˧·,xwo˥˩·,x̞wo̜̽˥˩·,xuo˥˩·,xuo̟˥˩·,xuo˥˩·,xuo˥˩·,xuo˥˩·,xuo˥˩·,xuɤ˥˩·,xuo̞͑˥˩·
6391,謔,4,huo,χʊ˥˧·,xwo˥˩·,x̞wo̜̽˥˩·,xuo˥˩·,xuo̟˥˩·,xuo˥˩·,xuo˥˩·,xuo˥˩·,xuo˥˩·,xuɤ˥˩·,xuo̞͑˥˩·
6392,篧,4,huo,χʊ˥˧·,xwo˥˩·,x̞wo̜̽˥˩·,xuo˥˩·,xuo̟˥˩·,xuo˥˩·,xuo˥˩·,xuo˥˩·,xuo˥˩·,xuɤ˥˩·,xuo̞͑˥˩·
6393,擭,4,huo,χʊ˥˧·,xwo˥˩·,x̞wo̜̽˥˩·,xuo˥˩·,xuo̟˥˩·,xuo˥˩·,xuo˥˩·,xuo˥˩·,xuo˥˩·,xuɤ˥˩·,xuo̞͑˥˩·
6394,丌,1,ji,t͡si̞˥·,t͡ɕi˥·,d̥͡ʑ̥i˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·
6395,讥,1,ji,t͡si̞˥·,t͡ɕi˥·,d̥͡ʑ̥i˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·
6396,击,1,ji,t͡si̞˥·,t͡ɕi˥·,d̥͡ʑ̥i˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·
6397,刉,1,ji,t͡si̞˥·,t͡ɕi˥·,d̥͡ʑ̥i˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·
6398,叽,1,ji,t͡si̞˥·,t͡ɕi˥·,d̥͡ʑ̥i˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·
6399,饥,1,ji,t͡si̞˥·,t͡ɕi˥·,d̥͡ʑ̥i˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·
6400,乩,1,ji,t͡si̞˥·,t͡ɕi˥·,d̥͡ʑ̥i˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·
6401,圾,1,ji,t͡si̞˥·,t͡ɕi˥·,d̥͡ʑ̥i˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·
6402,机,1,ji,t͡si̞˥·,t͡ɕi˥·,d̥͡ʑ̥i˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·
6403,玑,1,ji,t͡si̞˥·,t͡ɕi˥·,d̥͡ʑ̥i˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·
6404,肌,1,ji,t͡si̞˥·,t͡ɕi˥·,d̥͡ʑ̥i˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·
6405,芨,1,ji,t͡si̞˥·,t͡ɕi˥·,d̥͡ʑ̥i˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·
6406,矶,1,ji,t͡si̞˥·,t͡ɕi˥·,d̥͡ʑ̥i˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·
6407,鸡,1,ji,t͡si̞˥·,t͡ɕi˥·,d̥͡ʑ̥i˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·
6408,枅,1,ji,t͡si̞˥·,t͡ɕi˥·,d̥͡ʑ̥i˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·
6409,咭,1,ji,t͡si̞˥·,t͡ɕi˥·,d̥͡ʑ̥i˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·
6410,剞,1,ji,t͡si̞˥·,t͡ɕi˥·,d̥͡ʑ̥i˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·
6411,唧,1,ji,t͡si̞˥·,t͡ɕi˥·,d̥͡ʑ̥i˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·
6412,姬,1,ji,t͡si̞˥·,t͡ɕi˥·,d̥͡ʑ̥i˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·
6413,屐,1,ji,t͡si̞˥·,t͡ɕi˥·,d̥͡ʑ̥i˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·
6414,积,1,ji,t͡si̞˥·,t͡ɕi˥·,d̥͡ʑ̥i˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·
6415,笄,1,ji,t͡si̞˥·,t͡ɕi˥·,d̥͡ʑ̥i˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·
6416,飢,1,ji,t͡si̞˥·,t͡ɕi˥·,d̥͡ʑ̥i˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·
6417,基,1,ji,t͡si̞˥·,t͡ɕi˥·,d̥͡ʑ̥i˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·
6418,喞,1,ji,t͡si̞˥·,t͡ɕi˥·,d̥͡ʑ̥i˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·
6419,嵆,1,ji,t͡si̞˥·,t͡ɕi˥·,d̥͡ʑ̥i˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·
6420,嵇,1,ji,t͡si̞˥·,t͡ɕi˥·,d̥͡ʑ̥i˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·
6421,攲,1,ji,t͡si̞˥·,t͡ɕi˥·,d̥͡ʑ̥i˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·
6422,敧,1,ji,t͡si̞˥·,t͡ɕi˥·,d̥͡ʑ̥i˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·
6423,犄,1,ji,t͡si̞˥·,t͡ɕi˥·,d̥͡ʑ̥i˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·
6424,筓,1,ji,t͡si̞˥·,t͡ɕi˥·,d̥͡ʑ̥i˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·
6425,缉,1,ji,t͡si̞˥·,t͡ɕi˥·,d̥͡ʑ̥i˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·
6426,缉,1,qi,t͡sʰi̞˥·,t͡ɕʰi˥·,t͡ɕʰi˥·,tɕʰi˥·,tɕʰi˥·,tɕʻi˥·,tɕʻi˥·,tɕʻi˥·,tɕʻi˥·,tɕʰi˥·,tɕʻi˥·
6427,赍,1,ji,t͡si̞˥·,t͡ɕi˥·,d̥͡ʑ̥i˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·
6428,嗘,1,ji,t͡si̞˥·,t͡ɕi˥·,d̥͡ʑ̥i˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·
6429,稘,1,ji,t͡si̞˥·,t͡ɕi˥·,d̥͡ʑ̥i˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·
6430,跻,1,ji,t͡si̞˥·,t͡ɕi˥·,d̥͡ʑ̥i˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·
6431,鳮,1,ji,t͡si̞˥·,t͡ɕi˥·,d̥͡ʑ̥i˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·
6432,僟,1,ji,t͡si̞˥·,t͡ɕi˥·,d̥͡ʑ̥i˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·
6433,毄,1,ji,t͡si̞˥·,t͡ɕi˥·,d̥͡ʑ̥i˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·
6434,箕,1,ji,t͡si̞˥·,t͡ɕi˥·,d̥͡ʑ̥i˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·
6435,箕,0,ji,t͡si̞0·,t͡ɕi0·,d̥͡ʑ̥i0·,tɕi0·,tɕi0·,tɕi0·,tɕi0·,tɕi0·,tɕi0·,tɕi0·,tɕi0·
6436,銈,1,ji,t͡si̞˥·,t͡ɕi˥·,d̥͡ʑ̥i˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·
6437,嘰,1,ji,t͡si̞˥·,t͡ɕi˥·,d̥͡ʑ̥i˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·
6438,撃,1,ji,t͡si̞˥·,t͡ɕi˥·,d̥͡ʑ̥i˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·
6439,樭,1,ji,t͡si̞˥·,t͡ɕi˥·,d̥͡ʑ̥i˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·
6440,畿,1,ji,t͡si̞˥·,t͡ɕi˥·,d̥͡ʑ̥i˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·
6441,稽,1,ji,t͡si̞˥·,t͡ɕi˥·,d̥͡ʑ̥i˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·
6442,稽,2,qi,t͡sʰi̞˧˦·,t͡ɕʰi˧˥·,t͡ɕʰi˧˥·,tɕʰi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·
6443,緝,1,ji,t͡si̞˥·,t͡ɕi˥·,d̥͡ʑ̥i˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·
6444,觭,1,ji,t͡si̞˥·,t͡ɕi˥·,d̥͡ʑ̥i˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·
6445,賫,1,ji,t͡si̞˥·,t͡ɕi˥·,d̥͡ʑ̥i˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·
6446,躸,1,ji,t͡si̞˥·,t͡ɕi˥·,d̥͡ʑ̥i˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·
6447,齑,1,ji,t͡si̞˥·,t͡ɕi˥·,d̥͡ʑ̥i˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·
6448,墼,1,ji,t͡si̞˥·,t͡ɕi˥·,d̥͡ʑ̥i˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·
6449,憿,1,ji,t͡si̞˥·,t͡ɕi˥·,d̥͡ʑ̥i˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·
6450,機,1,ji,t͡si̞˥·,t͡ɕi˥·,d̥͡ʑ̥i˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·
6451,激,1,ji,t͡si̞˥·,t͡ɕi˥·,d̥͡ʑ̥i˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·
6452,璣,1,ji,t͡si̞˥·,t͡ɕi˥·,d̥͡ʑ̥i˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·
6453,禨,1,ji,t͡si̞˥·,t͡ɕi˥·,d̥͡ʑ̥i˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·
6454,積,1,ji,t͡si̞˥·,t͡ɕi˥·,d̥͡ʑ̥i˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·
6455,錤,1,ji,t͡si̞˥·,t͡ɕi˥·,d̥͡ʑ̥i˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·
6456,隮,1,ji,t͡si̞˥·,t͡ɕi˥·,d̥͡ʑ̥i˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·
6457,擊,1,ji,t͡si̞˥·,t͡ɕi˥·,d̥͡ʑ̥i˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·
