序号,汉字,声调,拼音,2075北京话音系,UntPhesoca宽,UntPhesoca严,Standard Chinese (Beijing),Standard Chinese (Beijing)严,胡裕树《现代汉语》,黄伯荣、廖序东《现代汉语》,钱乃荣《现代汉语》,吴宗济,赵元任《汉语口语语法》,《汉语方音字汇》
29,娾,2,ai,ɜɛ̯˧˦·,aɪ˧˥·,a̠ɪ̯˧˥·,ai˧˥·,aɪ˧˥·,ai˧˥·,ai˧˥·,aⁱ˧˥·,ae˧˥·,ai˧˥·,æɪ˧˥·
30,隑,2,ai,ɜɛ̯˧˦·,aɪ˧˥·,a̠ɪ̯˧˥·,ai˧˥·,aɪ˧˥·,ai˧˥·,ai˧˥·,aⁱ˧˥·,ae˧˥·,ai˧˥·,æɪ˧˥·
31,剴,2,ai,ɜɛ̯˧˦·,aɪ˧˥·,a̠ɪ̯˧˥·,ai˧˥·,aɪ˧˥·,ai˧˥·,ai˧˥·,aⁱ˧˥·,ae˧˥·,ai˧˥·,æɪ˧˥·
32,騃,2,ai,ɜɛ̯˧˦·,aɪ˧˥·,a̠ɪ̯˧˥·,ai˧˥·,aɪ˧˥·,ai˧˥·,ai˧˥·,aⁱ˧˥·,ae˧˥·,ai˧˥·,æɪ˧˥·
33,毐,3,ai,ɜɛ̯˨˩̰·,aɪ˨˩˦·,a̠ɪ̯˨˩˦·,ai˨˩˧·,aɪ˨˩˧·,ai˨˩˦·,ai˨˩˦·,aⁱ˨˩˦·,ae˨˩˦·,ai˨˩˦·,æɪ˨˩˦·
34,昹,3,ai,ɜɛ̯˨˩̰·,aɪ˨˩˦·,a̠ɪ̯˨˩˦·,ai˨˩˧·,aɪ˨˩˧·,ai˨˩˦·,ai˨˩˦·,aⁱ˨˩˦·,ae˨˩˦·,ai˨˩˦·,æɪ˨˩˦·
35,矮,3,ai,ɜɛ̯˨˩̰·,aɪ˨˩˦·,a̠ɪ̯˨˩˦·,ai˨˩˧·,aɪ˨˩˧·,ai˨˩˦·,ai˨˩˦·,aⁱ˨˩˦·,ae˨˩˦·,ai˨˩˦·,æɪ˨˩˦·
36,蔼,3,ai,ɜɛ̯˨˩̰·,aɪ˨˩˦·,a̠ɪ̯˨˩˦·,ai˨˩˧·,aɪ˨˩˧·,ai˨˩˦·,ai˨˩˦·,aⁱ˨˩˦·,ae˨˩˦·,ai˨˩˦·,æɪ˨˩˦·
37,躷,3,ai,ɜɛ̯˨˩̰·,aɪ˨˩˦·,a̠ɪ̯˨˩˦·,ai˨˩˧·,aɪ˨˩˧·,ai˨˩˦·,ai˨˩˦·,aⁱ˨˩˦·,ae˨˩˦·,ai˨˩˦·,æɪ˨˩˦·
38,濭,3,ai,ɜɛ̯˨˩̰·,aɪ˨˩˦·,a̠ɪ̯˨˩˦·,ai˨˩˧·,aɪ˨˩˧·,ai˨˩˦·,ai˨˩˦·,aⁱ˨˩˦·,ae˨˩˦·,ai˨˩˦·,æɪ˨˩˦·
39,藹,3,ai,ɜɛ̯˨˩̰·,aɪ˨˩˦·,a̠ɪ̯˨˩˦·,ai˨˩˧·,aɪ˨˩˧·,ai˨˩˦·,ai˨˩˦·,aⁱ˨˩˦·,ae˨˩˦·,ai˨˩˦·,æɪ˨˩˦·
40,譪,3,ai,ɜɛ̯˨˩̰·,aɪ˨˩˦·,a̠ɪ̯˨˩˦·,ai˨˩˧·,aɪ˨˩˧·,ai˨˩˦·,ai˨˩˦·,aⁱ˨˩˦·,ae˨˩˦·,ai˨˩˦·,æɪ˨˩˦·
41,霭,3,ai,ɜɛ̯˨˩̰·,aɪ˨˩˦·,a̠ɪ̯˨˩˦·,ai˨˩˧·,aɪ˨˩˧·,ai˨˩˦·,ai˨˩˦·,aⁱ˨˩˦·,ae˨˩˦·,ai˨˩˦·,æɪ˨˩˦·
42,靄,3,ai,ɜɛ̯˨˩̰·,aɪ˨˩˦·,a̠ɪ̯˨˩˦·,ai˨˩˧·,aɪ˨˩˧·,ai˨˩˦·,ai˨˩˦·,aⁱ˨˩˦·,ae˨˩˦·,ai˨˩˦·,æɪ˨˩˦·
43,鯦,3,ai,ɜɛ̯˨˩̰·,aɪ˨˩˦·,a̠ɪ̯˨˩˦·,ai˨˩˧·,aɪ˨˩˧·,ai˨˩˦·,ai˨˩˦·,aⁱ˨˩˦·,ae˨˩˦·,ai˨˩˦·,æɪ˨˩˦·
44,噯,4,ai,ɜɛ̯˥˧·,aɪ˥˩·,a̠ɪ̯˥˩·,ai˥˩·,aɪ˥˩·,ai˥˩·,ai˥˩·,aⁱ˥˩·,ae˥˩·,ai˥˩·,æɪ˥˩·
45,艾,4,ai,ɜɛ̯˥˧·,aɪ˥˩·,a̠ɪ̯˥˩·,ai˥˩·,aɪ˥˩·,ai˥˩·,ai˥˩·,aⁱ˥˩·,ae˥˩·,ai˥˩·,æɪ˥˩·
46,艾,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
47,伌,4,ai,ɜɛ̯˥˧·,aɪ˥˩·,a̠ɪ̯˥˩·,ai˥˩·,aɪ˥˩·,ai˥˩·,ai˥˩·,aⁱ˥˩·,ae˥˩·,ai˥˩·,æɪ˥˩·
48,爱,4,ai,ɜɛ̯˥˧·,aɪ˥˩·,a̠ɪ̯˥˩·,ai˥˩·,aɪ˥˩·,ai˥˩·,ai˥˩·,aⁱ˥˩·,ae˥˩·,ai˥˩·,æɪ˥˩·
49,砹,4,ai,ɜɛ̯˥˧·,aɪ˥˩·,a̠ɪ̯˥˩·,ai˥˩·,aɪ˥˩·,ai˥˩·,ai˥˩·,aⁱ˥˩·,ae˥˩·,ai˥˩·,æɪ˥˩·
50,硋,4,ai,ɜɛ̯˥˧·,aɪ˥˩·,a̠ɪ̯˥˩·,ai˥˩·,aɪ˥˩·,ai˥˩·,ai˥˩·,aⁱ˥˩·,ae˥˩·,ai˥˩·,æɪ˥˩·
51,隘,4,ai,ɜɛ̯˥˧·,aɪ˥˩·,a̠ɪ̯˥˩·,ai˥˩·,aɪ˥˩·,ai˥˩·,ai˥˩·,aⁱ˥˩·,ae˥˩·,ai˥˩·,æɪ˥˩·
52,嗌,4,ai,ɜɛ̯˥˧·,aɪ˥˩·,a̠ɪ̯˥˩·,ai˥˩·,aɪ˥˩·,ai˥˩·,ai˥˩·,aⁱ˥˩·,ae˥˩·,ai˥˩·,æɪ˥˩·
53,塧,4,ai,ɜɛ̯˥˧·,aɪ˥˩·,a̠ɪ̯˥˩·,ai˥˩·,aɪ˥˩·,ai˥˩·,ai˥˩·,aⁱ˥˩·,ae˥˩·,ai˥˩·,æɪ˥˩·
54,嫒,4,ai,ɜɛ̯˥˧·,aɪ˥˩·,a̠ɪ̯˥˩·,ai˥˩·,aɪ˥˩·,ai˥˩·,ai˥˩·,aⁱ˥˩·,ae˥˩·,ai˥˩·,æɪ˥˩·
55,愛,4,ai,ɜɛ̯˥˧·,aɪ˥˩·,a̠ɪ̯˥˩·,ai˥˩·,aɪ˥˩·,ai˥˩·,ai˥˩·,aⁱ˥˩·,ae˥˩·,ai˥˩·,æɪ˥˩·
56,碍,4,ai,ɜɛ̯˥˧·,aɪ˥˩·,a̠ɪ̯˥˩·,ai˥˩·,aɪ˥˩·,ai˥˩·,ai˥˩·,aⁱ˥˩·,ae˥˩·,ai˥˩·,æɪ˥˩·
57,叆,4,ai,ɜɛ̯˥˧·,aɪ˥˩·,a̠ɪ̯˥˩·,ai˥˩·,aɪ˥˩·,ai˥˩·,ai˥˩·,aⁱ˥˩·,ae˥˩·,ai˥˩·,æɪ˥˩·
58,暧,4,ai,ɜɛ̯˥˧·,aɪ˥˩·,a̠ɪ̯˥˩·,ai˥˩·,aɪ˥˩·,ai˥˩·,ai˥˩·,aⁱ˥˩·,ae˥˩·,ai˥˩·,æɪ˥˩·
59,瑷,4,ai,ɜɛ̯˥˧·,aɪ˥˩·,a̠ɪ̯˥˩·,ai˥˩·,aɪ˥˩·,ai˥˩·,ai˥˩·,aⁱ˥˩·,ae˥˩·,ai˥˩·,æɪ˥˩·
60,僾,4,ai,ɜɛ̯˥˧·,aɪ˥˩·,a̠ɪ̯˥˩·,ai˥˩·,aɪ˥˩·,ai˥˩·,ai˥˩·,aⁱ˥˩·,ae˥˩·,ai˥˩·,æɪ˥˩·
61,壒,4,ai,ɜɛ̯˥˧·,aɪ˥˩·,a̠ɪ̯˥˩·,ai˥˩·,aɪ˥˩·,ai˥˩·,ai˥˩·,aⁱ˥˩·,ae˥˩·,ai˥˩·,æɪ˥˩·
62,嬡,4,ai,ɜɛ̯˥˧·,aɪ˥˩·,a̠ɪ̯˥˩·,ai˥˩·,aɪ˥˩·,ai˥˩·,ai˥˩·,aⁱ˥˩·,ae˥˩·,ai˥˩·,æɪ˥˩·
63,懓,4,ai,ɜɛ̯˥˧·,aɪ˥˩·,a̠ɪ̯˥˩·,ai˥˩·,aɪ˥˩·,ai˥˩·,ai˥˩·,aⁱ˥˩·,ae˥˩·,ai˥˩·,æɪ˥˩·
64,薆,4,ai,ɜɛ̯˥˧·,aɪ˥˩·,a̠ɪ̯˥˩·,ai˥˩·,aɪ˥˩·,ai˥˩·,ai˥˩·,aⁱ˥˩·,ae˥˩·,ai˥˩·,æɪ˥˩·
65,懝,4,ai,ɜɛ̯˥˧·,aɪ˥˩·,a̠ɪ̯˥˩·,ai˥˩·,aɪ˥˩·,ai˥˩·,ai˥˩·,aⁱ˥˩·,ae˥˩·,ai˥˩·,æɪ˥˩·
66,曖,4,ai,ɜɛ̯˥˧·,aɪ˥˩·,a̠ɪ̯˥˩·,ai˥˩·,aɪ˥˩·,ai˥˩·,ai˥˩·,aⁱ˥˩·,ae˥˩·,ai˥˩·,æɪ˥˩·
67,賹,4,ai,ɜɛ̯˥˧·,aɪ˥˩·,a̠ɪ̯˥˩·,ai˥˩·,aɪ˥˩·,ai˥˩·,ai˥˩·,aⁱ˥˩·,ae˥˩·,ai˥˩·,æɪ˥˩·
68,餲,4,ai,ɜɛ̯˥˧·,aɪ˥˩·,a̠ɪ̯˥˩·,ai˥˩·,aɪ˥˩·,ai˥˩·,ai˥˩·,aⁱ˥˩·,ae˥˩·,ai˥˩·,æɪ˥˩·
69,鴱,4,ai,ɜɛ̯˥˧·,aɪ˥˩·,a̠ɪ̯˥˩·,ai˥˩·,aɪ˥˩·,ai˥˩·,ai˥˩·,aⁱ˥˩·,ae˥˩·,ai˥˩·,æɪ˥˩·
70,皧,4,ai,ɜɛ̯˥˧·,aɪ˥˩·,a̠ɪ̯˥˩·,ai˥˩·,aɪ˥˩·,ai˥˩·,ai˥˩·,aⁱ˥˩·,ae˥˩·,ai˥˩·,æɪ˥˩·
71,瞹,4,ai,ɜɛ̯˥˧·,aɪ˥˩·,a̠ɪ̯˥˩·,ai˥˩·,aɪ˥˩·,ai˥˩·,ai˥˩·,aⁱ˥˩·,ae˥˩·,ai˥˩·,æɪ˥˩·
72,馤,4,ai,ɜɛ̯˥˧·,aɪ˥˩·,a̠ɪ̯˥˩·,ai˥˩·,aɪ˥˩·,ai˥˩·,ai˥˩·,aⁱ˥˩·,ae˥˩·,ai˥˩·,æɪ˥˩·
73,礙,4,ai,ɜɛ̯˥˧·,aɪ˥˩·,a̠ɪ̯˥˩·,ai˥˩·,aɪ˥˩·,ai˥˩·,ai˥˩·,aⁱ˥˩·,ae˥˩·,ai˥˩·,æɪ˥˩·
74,譺,4,ai,ɜɛ̯˥˧·,aɪ˥˩·,a̠ɪ̯˥˩·,ai˥˩·,aɪ˥˩·,ai˥˩·,ai˥˩·,aⁱ˥˩·,ae˥˩·,ai˥˩·,æɪ˥˩·
75,鑀,4,ai,ɜɛ̯˥˧·,aɪ˥˩·,a̠ɪ̯˥˩·,ai˥˩·,aɪ˥˩·,ai˥˩·,ai˥˩·,aⁱ˥˩·,ae˥˩·,ai˥˩·,æɪ˥˩·
76,鱫,4,ai,ɜɛ̯˥˧·,aɪ˥˩·,a̠ɪ̯˥˩·,ai˥˩·,aɪ˥˩·,ai˥˩·,ai˥˩·,aⁱ˥˩·,ae˥˩·,ai˥˩·,æɪ˥˩·
77,靉,4,ai,ɜɛ̯˥˧·,aɪ˥˩·,a̠ɪ̯˥˩·,ai˥˩·,aɪ˥˩·,ai˥˩·,ai˥˩·,aⁱ˥˩·,ae˥˩·,ai˥˩·,æɪ˥˩·
78,閡,4,ai,ɜɛ̯˥˧·,aɪ˥˩·,a̠ɪ̯˥˩·,ai˥˩·,aɪ˥˩·,ai˥˩·,ai˥˩·,aⁱ˥˩·,ae˥˩·,ai˥˩·,æɪ˥˩·
79,欬,4,ai,ɜɛ̯˥˧·,aɪ˥˩·,a̠ɪ̯˥˩·,ai˥˩·,aɪ˥˩·,ai˥˩·,ai˥˩·,aⁱ˥˩·,ae˥˩·,ai˥˩·,æɪ˥˩·
80,焥,4,ai,ɜɛ̯˥˧·,aɪ˥˩·,a̠ɪ̯˥˩·,ai˥˩·,aɪ˥˩·,ai˥˩·,ai˥˩·,aⁱ˥˩·,ae˥˩·,ai˥˩·,æɪ˥˩·
81,堨,4,ai,ɜɛ̯˥˧·,aɪ˥˩·,a̠ɪ̯˥˩·,ai˥˩·,aɪ˥˩·,ai˥˩·,ai˥˩·,aⁱ˥˩·,ae˥˩·,ai˥˩·,æɪ˥˩·
82,乂,4,ai,ɜɛ̯˥˧·,aɪ˥˩·,a̠ɪ̯˥˩·,ai˥˩·,aɪ˥˩·,ai˥˩·,ai˥˩·,aⁱ˥˩·,ae˥˩·,ai˥˩·,æɪ˥˩·
83,嗳,4,ai,ɜɛ̯˥˧·,aɪ˥˩·,a̠ɪ̯˥˩·,ai˥˩·,aɪ˥˩·,ai˥˩·,ai˥˩·,aⁱ˥˩·,ae˥˩·,ai˥˩·,æɪ˥˩·
84,璦,4,ai,ɜɛ̯˥˧·,aɪ˥˩·,a̠ɪ̯˥˩·,ai˥˩·,aɪ˥˩·,ai˥˩·,ai˥˩·,aⁱ˥˩·,ae˥˩·,ai˥˩·,æɪ˥˩·
85,安,1,an,ɜɹ̃˥·,an˥·,a̠n̚˥·,an˥·,a̝n˥·,an˥·,an˥·,æⁿ˥·,an˥·,an˥·,an˥·
86,侒,1,an,ɜɹ̃˥·,an˥·,a̠n̚˥·,an˥·,a̝n˥·,an˥·,an˥·,æⁿ˥·,an˥·,an˥·,an˥·
87,峖,1,an,ɜɹ̃˥·,an˥·,a̠n̚˥·,an˥·,a̝n˥·,an˥·,an˥·,æⁿ˥·,an˥·,an˥·,an˥·
88,桉,1,an,ɜɹ̃˥·,an˥·,a̠n̚˥·,an˥·,a̝n˥·,an˥·,an˥·,æⁿ˥·,an˥·,an˥·,an˥·
89,氨,1,an,ɜɹ̃˥·,an˥·,a̠n̚˥·,an˥·,a̝n˥·,an˥·,an˥·,æⁿ˥·,an˥·,an˥·,an˥·
90,庵,1,an,ɜɹ̃˥·,an˥·,a̠n̚˥·,an˥·,a̝n˥·,an˥·,an˥·,æⁿ˥·,an˥·,an˥·,an˥·
91,谙,1,an,ɜɹ̃˥·,an˥·,a̠n̚˥·,an˥·,a̝n˥·,an˥·,an˥·,æⁿ˥·,an˥·,an˥·,an˥·
92,媕,1,an,ɜɹ̃˥·,an˥·,a̠n̚˥·,an˥·,a̝n˥·,an˥·,an˥·,æⁿ˥·,an˥·,an˥·,an˥·
93,萻,1,an,ɜɹ̃˥·,an˥·,a̠n̚˥·,an˥·,a̝n˥·,an˥·,an˥·,æⁿ˥·,an˥·,an˥·,an˥·
94,葊,1,an,ɜɹ̃˥·,an˥·,a̠n̚˥·,an˥·,a̝n˥·,an˥·,an˥·,æⁿ˥·,an˥·,an˥·,an˥·
95,痷,1,an,ɜɹ̃˥·,an˥·,a̠n̚˥·,an˥·,a̝n˥·,an˥·,an˥·,æⁿ˥·,an˥·,an˥·,an˥·
96,腤,1,an,ɜɹ̃˥·,an˥·,a̠n̚˥·,an˥·,a̝n˥·,an˥·,an˥·,æⁿ˥·,an˥·,an˥·,an˥·
97,鹌,1,an,ɜɹ̃˥·,an˥·,a̠n̚˥·,an˥·,a̝n˥·,an˥·,an˥·,æⁿ˥·,an˥·,an˥·,an˥·
98,蓭,1,an,ɜɹ̃˥·,an˥·,a̠n̚˥·,an˥·,a̝n˥·,an˥·,an˥·,æⁿ˥·,an˥·,an˥·,an˥·
99,誝,1,an,ɜɹ̃˥·,an˥·,a̠n̚˥·,an˥·,a̝n˥·,an˥·,an˥·,æⁿ˥·,an˥·,an˥·,an˥·
100,鞌,1,an,ɜɹ̃˥·,an˥·,a̠n̚˥·,an˥·,a̝n˥·,an˥·,an˥·,æⁿ˥·,an˥·,an˥·,an˥·
101,鞍,1,an,ɜɹ̃˥·,an˥·,a̠n̚˥·,an˥·,a̝n˥·,an˥·,an˥·,æⁿ˥·,an˥·,an˥·,an˥·
102,盦,1,an,ɜɹ̃˥·,an˥·,a̠n̚˥·,an˥·,a̝n˥·,an˥·,an˥·,æⁿ˥·,an˥·,an˥·,an˥·
103,闇,1,an,ɜɹ̃˥·,an˥·,a̠n̚˥·,an˥·,a̝n˥·,an˥·,an˥·,æⁿ˥·,an˥·,an˥·,an˥·
104,馣,1,an,ɜɹ̃˥·,an˥·,a̠n̚˥·,an˥·,a̝n˥·,an˥·,an˥·,æⁿ˥·,an˥·,an˥·,an˥·
105,鮟,1,an,ɜɹ̃˥·,an˥·,a̠n̚˥·,an˥·,a̝n˥·,an˥·,an˥·,æⁿ˥·,an˥·,an˥·,an˥·
106,盫,1,an,ɜɹ̃˥·,an˥·,a̠n̚˥·,an˥·,a̝n˥·,an˥·,an˥·,æⁿ˥·,an˥·,an˥·,an˥·
107,鵪,1,an,ɜɹ̃˥·,an˥·,a̠n̚˥·,an˥·,a̝n˥·,an˥·,an˥·,æⁿ˥·,an˥·,an˥·,an˥·
108,韽,1,an,ɜɹ̃˥·,an˥·,a̠n̚˥·,an˥·,a̝n˥·,an˥·,an˥·,æⁿ˥·,an˥·,an˥·,an˥·
109,鶕,1,an,ɜɹ̃˥·,an˥·,a̠n̚˥·,an˥·,a̝n˥·,an˥·,an˥·,æⁿ˥·,an˥·,an˥·,an˥·
110,啽,1,an,ɜɹ̃˥·,an˥·,a̠n̚˥·,an˥·,a̝n˥·,an˥·,an˥·,æⁿ˥·,an˥·,an˥·,an˥·
111,厰,1,an,ɜɹ̃˥·,an˥·,a̠n̚˥·,an˥·,a̝n˥·,an˥·,an˥·,æⁿ˥·,an˥·,an˥·,an˥·
